Year,EventName,DriverId,TeamName,engine,works,Q1time
2014,Australian Grand Prix,rosberg,Mercedes,Mercedes,1,92.564
2014,Australian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,90.949
2014,Australian Grand Prix,button,McLaren,Mercedes,0,91.396
2014,Australian Grand Prix,alonso,Ferrari,Ferrari,1,91.388
2014,Australian Grand Prix,bottas,Williams,Mercedes,0,91.601
2014,Australian Grand Prix,hulkenberg,Force India,Mercedes,0,93.893
2014,Australian Grand Prix,raikkonen,Ferrari,Ferrari,1,92.439
2014,Australian Grand Prix,vergne,Toro Rosso,Renault,0,93.488
2014,Australian Grand Prix,kvyat,Toro Rosso,Renault,0,93.777
2014,Australian Grand Prix,perez,Force India,Mercedes,0,94.141
2014,Australian Grand Prix,sutil,Sauber,Ferrari,0,93.673
2014,Australian Grand Prix,gutierrez,Sauber,Ferrari,0,95.117
2014,Australian Grand Prix,chilton,Marussia,Ferrari,0,94.293
2014,Australian Grand Prix,jules_bianchi,Marussia,Ferrari,0,94.794
2014,Australian Grand Prix,grosjean,Lotus,Renault,0,96.993
2014,Australian Grand Prix,maldonado,Lotus,Renault,0,NA
2014,Australian Grand Prix,ericsson,Caterham,Renault,0,95.157
2014,Australian Grand Prix,vettel,Red Bull,Renault,0,91.931
2014,Australian Grand Prix,hamilton,Mercedes,Mercedes,1,91.699
2014,Australian Grand Prix,massa,Williams,Mercedes,0,91.228
2014,Australian Grand Prix,kobayashi,Caterham,Renault,0,94.274
2014,Australian Grand Prix,ricciardo,Red Bull,Renault,0,90.775
2014,Malaysian Grand Prix,hamilton,Mercedes,Mercedes,1,117.202
2014,Malaysian Grand Prix,rosberg,Mercedes,Mercedes,1,117.183
2014,Malaysian Grand Prix,vettel,Red Bull,Renault,0,117.654
2014,Malaysian Grand Prix,alonso,Ferrari,Ferrari,1,118.889
2014,Malaysian Grand Prix,hulkenberg,Force India,Mercedes,0,118.883
2014,Malaysian Grand Prix,button,McLaren,Mercedes,0,120.889
2014,Malaysian Grand Prix,massa,Williams,Mercedes,0,120.047
2014,Malaysian Grand Prix,bottas,Williams,Mercedes,0,119.709
2014,Malaysian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,120.356
2014,Malaysian Grand Prix,kvyat,Toro Rosso,Renault,0,121.175
2014,Malaysian Grand Prix,grosjean,Lotus,Renault,0,120.202
2014,Malaysian Grand Prix,raikkonen,Ferrari,Ferrari,1,119.257
2014,Malaysian Grand Prix,kobayashi,Caterham,Renault,0,123.595
2014,Malaysian Grand Prix,ericsson,Caterham,Renault,0,124.407
2014,Malaysian Grand Prix,chilton,Marussia,Ferrari,0,124.388
2014,Malaysian Grand Prix,ricciardo,Red Bull,Renault,0,118.913
2014,Malaysian Grand Prix,gutierrez,Sauber,Ferrari,0,121.134
2014,Malaysian Grand Prix,sutil,Sauber,Ferrari,0,122.131
2014,Malaysian Grand Prix,vergne,Toro Rosso,Renault,0,121.689
2014,Malaysian Grand Prix,jules_bianchi,Marussia,Ferrari,0,122.702
2014,Malaysian Grand Prix,maldonado,Lotus,Renault,0,122.074
2014,Malaysian Grand Prix,perez,Force India,Mercedes,0,120.076
2014,Bahrain Grand Prix,hamilton,Mercedes,Mercedes,1,95.323
2014,Bahrain Grand Prix,rosberg,Mercedes,Mercedes,1,95.439
2014,Bahrain Grand Prix,perez,Force India,Mercedes,0,94.998
2014,Bahrain Grand Prix,ricciardo,Red Bull,Renault,0,96.22
2014,Bahrain Grand Prix,hulkenberg,Force India,Mercedes,0,94.874
2014,Bahrain Grand Prix,vettel,Red Bull,Renault,0,95.549
2014,Bahrain Grand Prix,massa,Williams,Mercedes,0,95.085
2014,Bahrain Grand Prix,bottas,Williams,Mercedes,0,94.934
2014,Bahrain Grand Prix,alonso,Ferrari,Ferrari,1,95.251
2014,Bahrain Grand Prix,raikkonen,Ferrari,Ferrari,1,95.234
2014,Bahrain Grand Prix,kvyat,Toro Rosso,Renault,0,95.395
2014,Bahrain Grand Prix,grosjean,Lotus,Renault,0,96.654
2014,Bahrain Grand Prix,chilton,Marussia,Ferrari,0,97.913
2014,Bahrain Grand Prix,maldonado,Lotus,Renault,0,96.663
2014,Bahrain Grand Prix,kobayashi,Caterham,Renault,0,97.085
2014,Bahrain Grand Prix,jules_bianchi,Marussia,Ferrari,0,97.31
2014,Bahrain Grand Prix,button,McLaren,Mercedes,0,95.699
2014,Bahrain Grand Prix,kevin_magnussen,McLaren,Mercedes,0,95.288
2014,Bahrain Grand Prix,gutierrez,Sauber,Ferrari,0,96.567
2014,Bahrain Grand Prix,ericsson,Caterham,Renault,0,97.875
2014,Bahrain Grand Prix,vergne,Toro Rosso,Renault,0,95.815
2014,Bahrain Grand Prix,sutil,Sauber,Ferrari,0,96.84
2014,Chinese Grand Prix,hamilton,Mercedes,Mercedes,1,115.516
2014,Chinese Grand Prix,rosberg,Mercedes,Mercedes,1,116.058
2014,Chinese Grand Prix,alonso,Ferrari,Ferrari,1,116.961
2014,Chinese Grand Prix,ricciardo,Red Bull,Renault,0,116.641
2014,Chinese Grand Prix,vettel,Red Bull,Renault,0,115.926
2014,Chinese Grand Prix,hulkenberg,Force India,Mercedes,0,115.913
2014,Chinese Grand Prix,bottas,Williams,Mercedes,0,116.501
2014,Chinese Grand Prix,raikkonen,Ferrari,Ferrari,1,118.279
2014,Chinese Grand Prix,perez,Force India,Mercedes,0,118.362
2014,Chinese Grand Prix,kvyat,Toro Rosso,Renault,0,117.261
2014,Chinese Grand Prix,button,McLaren,Mercedes,0,117.783
2014,Chinese Grand Prix,vergne,Toro Rosso,Renault,0,117.477
2014,Chinese Grand Prix,kevin_magnussen,McLaren,Mercedes,0,117.369
2014,Chinese Grand Prix,maldonado,Lotus,Renault,0,NA
2014,Chinese Grand Prix,massa,Williams,Mercedes,0,116.85
2014,Chinese Grand Prix,gutierrez,Sauber,Ferrari,0,118.988
2014,Chinese Grand Prix,jules_bianchi,Marussia,Ferrari,0,119.326
2014,Chinese Grand Prix,kobayashi,Caterham,Renault,0,119.26
2014,Chinese Grand Prix,chilton,Marussia,Ferrari,0,120.865
2014,Chinese Grand Prix,ericsson,Caterham,Renault,0,120.646
2014,Chinese Grand Prix,grosjean,Lotus,Renault,0,118.411
2014,Chinese Grand Prix,sutil,Sauber,Ferrari,0,118.138
2014,Spanish Grand Prix,hamilton,Mercedes,Mercedes,1,87.238
2014,Spanish Grand Prix,rosberg,Mercedes,Mercedes,1,86.764
2014,Spanish Grand Prix,ricciardo,Red Bull,Renault,0,88.053
2014,Spanish Grand Prix,vettel,Red Bull,Renault,0,87.958
2014,Spanish Grand Prix,bottas,Williams,Mercedes,0,88.19800000000001
2014,Spanish Grand Prix,alonso,Ferrari,Ferrari,1,88.32900000000001
2014,Spanish Grand Prix,raikkonen,Ferrari,Ferrari,1,88.30799999999999
2014,Spanish Grand Prix,grosjean,Lotus,Renault,0,88.47200000000001
2014,Spanish Grand Prix,perez,Force India,Mercedes,0,88.469
2014,Spanish Grand Prix,hulkenberg,Force India,Mercedes,0,88.155
2014,Spanish Grand Prix,button,McLaren,Mercedes,0,88.279
2014,Spanish Grand Prix,kevin_magnussen,McLaren,Mercedes,0,88.389
2014,Spanish Grand Prix,massa,Williams,Mercedes,0,88.061
2014,Spanish Grand Prix,kvyat,Toro Rosso,Renault,0,88.074
2014,Spanish Grand Prix,maldonado,Lotus,Renault,0,NA
2014,Spanish Grand Prix,gutierrez,Sauber,Ferrari,0,88.374
2014,Spanish Grand Prix,sutil,Sauber,Ferrari,0,88.563
2014,Spanish Grand Prix,jules_bianchi,Marussia,Ferrari,0,90.177
2014,Spanish Grand Prix,chilton,Marussia,Ferrari,0,89.586
2014,Spanish Grand Prix,ericsson,Caterham,Renault,0,90.312
2014,Spanish Grand Prix,kobayashi,Caterham,Renault,0,90.375
2014,Spanish Grand Prix,vergne,Toro Rosso,Renault,0,88.194
2014,Monaco Grand Prix,rosberg,Mercedes,Mercedes,1,77.678
2014,Monaco Grand Prix,hamilton,Mercedes,Mercedes,1,77.82300000000001
2014,Monaco Grand Prix,ricciardo,Red Bull,Renault,0,77.9
2014,Monaco Grand Prix,alonso,Ferrari,Ferrari,1,77.85300000000001
2014,Monaco Grand Prix,hulkenberg,Force India,Mercedes,0,78.432
2014,Monaco Grand Prix,button,McLaren,Mercedes,0,77.89
2014,Monaco Grand Prix,massa,Williams,Mercedes,0,78.209
2014,Monaco Grand Prix,grosjean,Lotus,Renault,0,78.33500000000001
2014,Monaco Grand Prix,jules_bianchi,Marussia,Ferrari,0,79.332
2014,Monaco Grand Prix,kevin_magnussen,McLaren,Mercedes,0,77.97800000000001
2014,Monaco Grand Prix,ericsson,Caterham,Renault,0,81.732
2014,Monaco Grand Prix,raikkonen,Ferrari,Ferrari,1,77.902
2014,Monaco Grand Prix,kobayashi,Caterham,Renault,0,80.133
2014,Monaco Grand Prix,chilton,Marussia,Ferrari,0,79.928
2014,Monaco Grand Prix,gutierrez,Sauber,Ferrari,0,78.741
2014,Monaco Grand Prix,bottas,Williams,Mercedes,0,78.407
2014,Monaco Grand Prix,vergne,Toro Rosso,Renault,0,77.557
