year,team_id,team,engine,works,constructorId
2014,1,Ferrari,Ferrari,1,6
2014,11,Marussia,Ferrari,0,164
2014,2,Sauber,Ferrari,0,15
2014,4,Mercedes,Mercedes,1,131
2014,5,Force India,Mercedes,0,10
2014,6,Williams,Mercedes,0,3
2014,7,McLaren,Mercedes,0,1
2014,12,Caterham,Renault,0,154
2014,10,Lotus,Renault,0,208
2014,8,Red Bull,Renault,0,9
2014,9,Toro Rosso,Renault,0,5
2015,1,Ferrari,Ferrari,1,6
2015,11,Marussia,Ferrari,0,164
2015,2,Sauber,Ferrari,0,15
2015,4,Mercedes,Mercedes,1,131
2015,5,Force India,Mercedes,0,10
2015,6,Williams,Mercedes,0,3
2015,7,McLaren,Honda,1,1
2015,10,Lotus,Mercedes,0,208
2015,8,Red Bull,Renault,0,9
2015,9,Toro Rosso,Renault,0,5
2016,1,Ferrari,Ferrari,1,6
2016,2,Sauber,Ferrari,0,15
2016,3,Haas,Ferrari,0,210
2016,11,Manor,Mercedes,0,209
2016,4,Mercedes,Mercedes,1,131
2016,5,Force India,Mercedes,0,10
2016,6,Williams,Mercedes,0,3
2016,7,McLaren,Honda,1,1
2016,8,Red Bull,Renault,0,9
2016,9,Toro Rosso,Ferrari,0,5
2016,10,Renault,Renault,1,4
2017,1,Ferrari,Ferrari,1,6
2017,2,Sauber,Ferrari,0,15
2017,3,Haas,Ferrari,0,210
2017,4,Mercedes,Mercedes,1,131
2017,5,Force India,Mercedes,0,10
2017,6,Williams,Mercedes,0,3
2017,7,McLaren,Honda,1,1
2017,8,Red Bull,Renault,0,9
2017,9,Toro Rosso,Renault,0,5
2017,10,Renault,Renault,1,4
2018,1,Ferrari,Ferrari,1,6
2018,2,Sauber,Ferrari,0,15
2018,3,Haas,Ferrari,0,210
2018,4,Mercedes,Mercedes,1,131
2018,5,Force India,Mercedes,0,10
2018,6,Williams,Mercedes,0,3
2018,7,McLaren,Renault,0,1
2018,8,Red Bull,Renault,0,9
2018,9,Toro Rosso,Honda,1,5
2018,10,Renault,Renault,1,4
2019,1,Ferrari,Ferrari,1,6
2019,2,Alfa Romeo,Ferrari,0,51
2019,3,Haas,Ferrari,0,210
2019,4,Mercedes,Mercedes,1,131
2019,5,Racing Point,Mercedes,0,211
2019,6,Williams,Mercedes,0,3
2019,7,McLaren,Renault,0,1
2019,8,Red Bull,Honda,1,9
2019,9,Toro Rosso,Honda,1,5
2019,10,Renault,Renault,1,4
2020,1,Ferrari,Ferrari,1,6
2020,2,Alfa Romeo Racing Orlen,Ferrari,0,51
2020,3,Haas,Ferrari,0,210
2020,4,Mercedes,Mercedes,1,131
2020,5,Racing Point,Mercedes,0,211
2020,6,Williams,Mercedes,0,3
2020,7,McLaren,Renault,0,1
2020,8,Red Bull,Honda,1,9
2020,9,AlphaTauri,Honda,1,213
2020,10,Renault,Renault,1,4
2021,1,Ferrari,Ferrari,1,6
2021,2,Alfa Romeo Racing Orlen,Ferrari,0,51
2021,3,Haas,Ferrari,0,210
2021,4,Mercedes,Mercedes,1,131
2021,5,Aston Martin,Mercedes,0,117
2021,6,Williams,Mercedes,0,3
2021,7,McLaren,Mercedes,0,1
2021,8,Red Bull,Honda,1,9
2021,9,Scuderia AlphaTauri,Honda,0,213
2021,10,Alpine,Renault,1,214
2022,1,Ferrari,Ferrari,1,6
2022,2,Alfa Romeo Racing Orlen,Ferrari,0,51
2022,3,Haas,Ferrari,0,210
2022,4,Mercedes,Mercedes,1,131
2022,5,Aston Martin,Mercedes,0,117
2022,6,Williams,Mercedes,0,3
2022,7,McLaren,Mercedes,0,1
2022,8,Red Bull,Honda,1,9
2022,9,AlphaTauri,Honda,0,213
2022,10,Alpine,Renault,1,214
2023,1,Ferrari,Ferrari,1,6
2023,2,Alfa Romeo,Ferrari,0,51
2023,3,Haas,Ferrari,0,210
2023,4,Mercedes,Mercedes,1,131
2023,5,Aston Martin,Mercedes,0,117
2023,6,Williams,Mercedes,0,3
2023,7,McLaren,Mercedes,0,1
2023,8,Red Bull,Honda,1,9
2023,9,AlphaTauri,Honda,0,213
2023,10,Alpine,Renault,1,214
2024,1,Ferrari,Ferrari,1,6
2024,2,Sauber,Ferrari,0,15
2024,3,Haas,Ferrari,0,210
2024,4,Mercedes,Mercedes,1,131
2024,5,Aston Martin,Mercedes,0,117
2024,6,Williams,Mercedes,0,3
2024,7,McLaren,Mercedes,0,1
2024,8,Red Bull,Honda,1,9
2024,9,Racing Bulls,Honda,0,214
2024,10,Alpine,Renault,1,214
2025,1,Ferrari,Ferrari,1,6
2025,2,Sauber,Ferrari,0,15
2025,3,Haas,Ferrari,0,210
2025,4,Mercedes,Mercedes,1,131
2025,5,Aston Martin,Mercedes,0,117
2025,6,Williams,Mercedes,0,3
2025,7,McLaren,Mercedes,0,1
2025,8,Red Bull,Honda,1,9
2025,9,Racing Bulls,Honda,0,214
2025,10,Alpine,Renault,1,214
