Circuit,City,Country,Track Length (km),Turns,Direction,Circuit Type,First Grand Prix,Last Grand Prix,Races,Best Lap Timing,Best Lap Driver,Best Lap Year,Best Lap Time
Brands Hatch,Fawkham, United Kingdom,4.207,9,Clockwise,Race,1964 British Grand Prix,1986 British Grand Prix,14,1:09.593,Nigel Mansell,1986,69.593
AVUS,Berlin, Germany,8.3,4,Anti clockwise,Road,1959 German Grand Prix,1959 German Grand Prix,1,2:04.500,Tony Brooks,1959,124.5
Autodromo Internazionale Enzo e Dino Ferrari,Imola, Italy,4.909,19,Anti clockwise,Race,1980 Italian Grand Prix,2025 Emilia Romagna Grand Prix,32,1:15.484,Lewis Hamilton,2020,75.484
Autódromo Juan y Oscar Gálvez,Buenos Aires, Argentina,4.259,19,Clockwise,Race,1953 Argentine Grand Prix,1998 Argentine Grand Prix,20,1:11.220,Emerson Fittipaldi,1973,71.22
Autodromo Internazionale del Mugello,Scarperia e San Piero, Italy,5.245,15,Clockwise,Race,2020 Tuscan Grand Prix,2020 Tuscan Grand Prix,1,1:18.833,Lewis Hamilton,2020,78.833
Anderstorp Raceway,Anderstorp, Sweden,4.031,8,Clockwise,Race,1973 Swedish Grand Prix,1978 Swedish Grand Prix,6,1:24.836,Niki Lauda,1978,84.836
Baku City Circuit,Baku, Azerbaijan,6.003,20,Anti clockwise,Street,2016 European Grand Prix,2025 Azerbaijan Grand Prix,9,1:43.009,Charles Leclerc,2019,103.009
Bahrain International Circuit,Sakhir, Bahrain,5.412,15,Clockwise,Race,2004 Bahrain Grand Prix,2025 Bahrain Grand Prix,22,1:30.252,Michael Schumacher,2004,90.252
Caesars Palace,Las Vegas, United States of America,3.65,14,Anti clockwise,Street,1981 Caesars Palace Grand Prix,1982 Caesars Palace Grand Prix,2,1:19.639,Michele Alboreto,1982,79.639
Autódromo Internacional Nelson Piquet,Rio de Janeiro, Brazil,5.031,11,Anti clockwise,Race,1978 Brazilian Grand Prix,1989 Brazilian Grand Prix,10,1:32.507,Riccardo Patrese,1989,92.507
Aintree Motor Racing Circuit,Aintree, United Kingdom,4.828,8,Clockwise,Road,1955 British Grand Prix,1962 British Grand Prix,5,1:55.000,Jim Clark,1962,115.0
Autódromo José Carlos Pace,São Paulo, Brazil,4.309,15,Anti clockwise,Race,1973 Brazilian Grand Prix,2025 São Paulo Grand Prix,42,1:10.540,Valtteri Bottas,2018,70.53999999999999
Autodromo Nazionale Monza,Monza, Italy,5.793,11,Clockwise,Race,1950 Italian Grand Prix,2025 Italian Grand Prix,75,1:20.901,Lando Norris,2025,80.901
Adelaide Street Circuit,Adelaide, Australia,3.78,16,Clockwise,Street,1985 Australian Grand Prix,1995 Australian Grand Prix,11,1:15.381,Damon Hill,1993,75.381
Bugatti Circuit,Le Mans, France,4.185,14,Clockwise,Race,1967 French Grand Prix,1967 French Grand Prix,1,1:36.700,Graham Hill,1967,96.7
Ain-Diab Circuit,Casablanca, Morocco,7.618,18,Clockwise,Road,1958 Moroccan Grand Prix,1958 Moroccan Grand Prix,1,2:22.500,Stirling Moss,1958,142.5
Autódromo do Estoril,Estoril, Portugal,4.36,13,Clockwise,Race,1984 Portuguese Grand Prix,1996 Portuguese Grand Prix,13,1:14.859,Damon Hill,1993,74.859
Autódromo Hermanos Rodríguez,Mexico City, Mexico,4.304,17,Clockwise,Race,1963 Mexican Grand Prix,2025 Mexican Grand Prix,25,1:16.788,Nigel Mansell,1991,76.788
Algarve International Circuit,Portimão, Portugal,4.653,15,Clockwise,Race,2020 Portuguese Grand Prix,2021 Portuguese Grand Prix,2,1:18.750,Lewis Hamilton,2020,78.75
Buddh International Circuit,Greater Noida, India,5.125,16,Clockwise,Race,2011 Indian Grand Prix,2013 Indian Grand Prix,3,1:27.249,Sebastian Vettel,2011,87.249
Charade Circuit,Clermont-Ferrand, France,8.055,48,Clockwise,Road,1965 French Grand Prix,1972 French Grand Prix,4,2:53.900,Chris Amon,1972,173.9
Canadian Tire Motorsport Park,Bowmanville, Canada,3.957,10,Clockwise,Race,1967 Canadian Grand Prix,1977 Canadian Grand Prix,8,1:13.299,Mario Andretti,1977,73.299
Circuit Bremgarten,Bern, Switzerland,7.28,13,Clockwise,Road,1950 Swiss Grand Prix,1954 Swiss Grand Prix,5,2:39.700,Juan Manuel Fangio,1954,159.7
Circuit de Barcelona-Catalunya,Montmeló, Spain,4.657,14,Clockwise,Race,1991 Spanish Grand Prix,2025 Spanish Grand Prix,35,1:15.641,Giancarlo Fisichella,2005,75.641
Circuit de Nevers Magny-Cours,Nevers, France,4.411,17,Clockwise,Race,1991 French Grand Prix,2008 French Grand Prix,18,1:15.045,David Coulthard,2002,75.045
